Zipcode,Median Income ,Old Median Income,Growth,Population_size,Population_age,Num_White_People,Immigrant_pop,Num_Black_People,Percentage_Black,2012_pop_size,Pop_Growth
ZCTA5 00601,5397,5477,-80,17126,43.7,14463,2,243,0.014188952,18544,-1418
ZCTA5 00602,12858,13241,-383,37895,44.4,23237,46,688,0.018155429,41640,-3745
ZCTA5 00603,19295,17518,1777,49136,44.1,36497,38,1681,0.034211169,54540,-5404
ZCTA5 00606,1968,1754,214,5751,44.9,3319,0,27,0.004694836,6593,-842
ZCTA5 00610,8934,9181,-247,26153,43.5,15815,0,642,0.024547853,29141,-2988
ZCTA5 00611,514,23268,-22754,1283,47.2,641,0,13,0.010132502,69017,-67734
ZCTA5 00612,23319,3574,19745,64090,43.5,33184,542,1936,0.030207521,10750,53340
ZCTA5 00616,3342,8046,-4704,10186,45.3,5778,145,644,0.063224033,24733,-14547
ZCTA5 00617,7820,2027,5793,22803,42.4,11622,323,930,0.040784107,5923,16880
ZCTA5 00622,2789,13321,-10532,7751,48.3,2947,0,344,0.04438137,44943,-37192
ZCTA5 00623,13933,7935,5998,39652,44.5,13350,205,1482,0.037375164,26016,13636
ZCTA5 00624,7194,10987,-3793,21912,40.3,15829,22,607,0.027701716,35085,-13173
ZCTA5 00627,11367,556,10811,32885,43.8,29275,0,467,0.014201003,1800,31085
ZCTA5 00631,396,7500,-7104,1098,46.1,1075,0,0,0,25312,-24214
ZCTA5 00636,296,5668,-5372,1174,32.3,724,0,0,0,18997,-17823
ZCTA5 00637,7005,9641,-2636,23016,44.3,14689,10,354,0.015380605,30771,-7755
ZCTA5 00638,6032,12185,-6153,17689,44.5,12140,72,409,0.023121714,38179,-20490
ZCTA5 00641,8724,1807,6917,24915,46.1,12470,18,353,0.014168172,5869,19046
ZCTA5 00646,11863,4558,7305,36142,42.4,20141,0,3147,0.087073211,15120,21022
ZCTA5 00647,1927,1159,768,5198,44.9,2349,0,265,0.050981147,3244,1954
ZCTA5 00650,5157,4004,1153,14301,40.5,8280,143,234,0.016362492,13502,799
ZCTA5 00652,1250,6569,-5319,3193,47.2,1874,49,79,0.024741622,21438,-18245
ZCTA5 00653,3591,13109,-9518,9099,43.6,5332,0,432,0.047477745,41945,-32846
ZCTA5 00656,6513,6334,179,18633,44.3,14146,108,318,0.017066495,17217,1416
ZCTA5 00659,13214,14229,-1015,37525,43.7,32004,7,792,0.021105929,43598,-6073
ZCTA5 00660,6220,4840,1380,15630,48,2868,0,344,0.022008957,16665,-1035
