SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2017 Newton St,Forestport,NY,13338,29900,2,1.0,Forestport-303800,864,21780,1900,1,35,,Active,,,https://www.redfin.com/NY/Forestport/2017-Newton-St-13338/home/134612091,CNYIS,S1447363,N,Y,43.4354342,-75.1988811
MLS Listing,,Single Family Residential,431 Little Pond Rd,Amboy,NY,13493,119000,3,1.0,Amboy-352200,1120,270072,1998,1,106,,Active,,,https://www.redfin.com/NY/Williamstown/431-Little-Pond-Rd-13493/home/72375340,CNYIS,S1448122,N,Y,43.4003287,-75.9650792
MLS Listing,,Single Family Residential,6248 Muskrat Bay Rd,Cicero,NY,13029,110000,2,1.0,Cicero-312289,868,74052,1981,1,127,,Active,,,https://www.redfin.com/NY/Brewerton/6248-Muskrat-Bay-Rd-13029/home/92437074,CNYIS,S1448103,N,Y,43.219192,-76.092782
MLS Listing,,Single Family Residential,398 Johnson Rd,Constantia,NY,13028,199900,2,1.0,Constantia-352689,1200,56628,1977,1,167,,Active,,,https://www.redfin.com/NY/Bernhards-Bay/398-Johnson-Rd-13028/home/72376064,CNYIS,S1447993,N,Y,43.2723739,-75.9556452
MLS Listing,,Single Family Residential,6810 Deluxe Park,Cicero,NY,13039,129900,3,1.5,Cicero-312289,1824,27504,1928,1,71,,Active,,,https://www.redfin.com/NY/Cicero/6810-Deluxe-Park-13039/home/72870886,CNYIS,S1448017,N,Y,43.2013299,-76.0468947
MLS Listing,,Single Family Residential,8618 Cobalt Dr,Cicero,NY,13039,364900,3,2.0,Cicero-312289,1540,10021,2021,1,237,,Active,,,https://www.redfin.com/NY/Cicero/8618-Cobalt-Dr-13039/home/171187093,CNYIS,S1447977,N,Y,43.1849308,-76.0744418
MLS Listing,,Vacant Land,00 Adams Hill Rd,New Bremen,NY,13327,186900,,,New Bremen-234489,,4791600,,1,,,Active,,,https://www.redfin.com/NY/NEW-BREMEN/ADAMS-HILL-RD-13327/home/133326028,CNYIS,S1446500,N,Y,43.856723,-75.321273
MLS Listing,,Vacant Land,Lot 11 Forest Ridge Dr,Rome-outside,NY,13440,43700,,,Rome-Outside-301389,,27442,,1,,,Active,,,https://www.redfin.com/NY/Rome/Lot-11-Forest-Ridge-Dr-13440/home/183252581,CNYIS,S1447958,N,Y,43.261566,-75.536803
MLS Listing,,Single Family Residential,131 Old State Rd,Newport,NY,13416,219000,4,1.5,Newport-213889,1764,78408,1930,1,124,,Active,,,https://www.redfin.com/NY/Newport/131-Old-State-Rd-13416/home/131000074,CNYIS,S1447990,N,Y,43.1874507,-75.0245834
MLS Listing,,Vacant Land,1963 South Shore Rd,Old Forge,NY,13420,1600000,,,,,184258,,2,,,Active,,,https://www.redfin.com/NY/Old-Forge/1963-S-Shore-Rd-13420/home/131155960,ACVMLS,177529,N,Y,43.7427185,-74.8672024
MLS Listing,,Vacant Land,000 Route 28,Old Forge,NY,13420,35000,,,,,152460,,2,,,Active,,,https://www.redfin.com/NY/Old-Forge/000-Route-28-13420/home/183217189,ACVMLS,173363,N,Y,43.73449887,-74.90930492
MLS Listing,,Single Family Residential,"656 Hollywood Road, Unit 4",Old Forge,NY,13420,479000,2,2.5,Hollywood Hills,1133,871,1929,2,423,,Active,,,https://www.redfin.com/NY/Old-Forge/656-Hollywood-Rd-13420/home/131454048,ACVMLS,177772,N,Y,43.7261464,-74.9241312
MLS Listing,,Vacant Land,0 State Rt. 28,Thendara,NY,13472,279000,,,,,4007520,,2,,,Active,,,https://www.redfin.com/NY/Thendara/0-State-Rt-28-13472/home/183217351,ACVMLS,155464,N,Y,43.66518453,-75.07377651
MLS Listing,,Vacant Land,693 Hollywood Rd,Old Forge,NY,13420,90000,,,Hollywood Hills,,13068,,2,,,Active,,,https://www.redfin.com/NY/Old-Forge/693-Hollywood-Rd-13420/home/131137419,ACVMLS,177657,N,Y,43.72697,-74.924015
MLS Listing,,Single Family Residential,4540 Route 28,Old Forge,NY,13420,3495000,12,6.0,,6300,492228,1893,2,555,,Active,,,https://www.redfin.com/NY/Old-Forge/4540-NY-28-13420/home/131155947,ACVMLS,174405,N,Y,43.7479673,-74.8803401
MLS Listing,,Vacant Land,187 Pawnee Dr,Old Forge,NY,13420,63500,,,Hollywood Hills,,19602,,2,,,Active,,,https://www.redfin.com/NY/Old-Forge/187-Pawnee-Dr-13420/home/130909236,ACVMLS,177154,N,Y,43.719355,-74.950802
MLS Listing,,Vacant Land,0 State Route 28,Thendara,NY,13472,74900,,,,,230868,,2,,,Active,,,https://www.redfin.com/NY/Webb/0-State-Route-28-13472/home/175862746,ACVMLS,175105,N,Y,43.598988,-75.108941
MLS Listing,,Vacant Land,0000 Tamarack Dr,Old Forge,NY,13420,169000,,,Tamarack Hills,,217800,,2,,,Active,,,https://www.redfin.com/NY/OLD-FORGE/TAMARACK-DR-13420/home/131212863,ACVMLS,176569,N,Y,43.707295,-74.945314
MLS Listing,,Vacant Land,-2-24.1 Petrie Rd,Old Forge,NY,13420,130000,,,,,226512,,2,,,Active,,,https://www.redfin.com/NY/Webb/2-24-1-Petrie-Rd-13420/home/183217261,ACVMLS,176989,N,Y,43.7367408645632,-74.8857584944638
