Zipcode,Median Income 
00601,3576
00602,8922
00603,12777
00606,1299
00610,6041
00611,353
00612,15436
00616,2281
00617,5637
00622,1878
00623,9277
00624,5181
00627,8245
00631,258
00636,246
00637,4383
00638,4445
00641,5871
00646,8370
00647,1302
00650,3937
00652,797
00653,2107
00656,4618
00659,9560
00660,4115
00662,9391
00664,3773
00667,4982
00669,7303
00670,1775
00674,9735
00676,9219
00677,3769
00678,5996
00680,10120
00682,6693
00683,6386
00685,9934
00687,7405
00688,2830
00690,1616
00692,8467
00693,13596
00694,28
00698,7183
00703,6568
00704,1749
00705,5800
00707,2822
00714,4141
00715,481
00716,6821
00717,3418
00718,5221
00719,5796
00720,4562
00723,3834
00725,19641
00727,12773
00728,9114
00729,11783
00730,7755
00731,2636
00735,2715
00736,11628
00738,7529
00739,8539
00740,466
00741,936
00745,11079
00751,4906
00754,8690
00757,4672
00765,1394
00766,5802
00767,8013
00769,8507
00771,8612
00772,4432
00773,4516
00775,266
00777,9385
00778,10601
00780,3427
00782,3410
00783,7724
00784,9157
00786,18
00791,11030
00794,6709
00795,10293
00901,1573
00906,30
00907,3845
00909,1011
00911,1636
00912,1402
00913,1787
00915,5783
00917,3758
00918,3103
00920,3810
00921,7276
00923,5942
00924,11370
00925,792
00926,22878
00927,3295
00934,27
00949,17338
00950,0
00951,88
00952,1747
00953,16192
00956,16193
00957,10612
00959,11260
00960,0
00961,7220
00962,5020
00965,1081
00966,3595
00968,723
00969,9829
00971,5527
00976,15739
00979,4074
00982,3475
00983,8413
00985,7925
00987,13905
01001,4055
01002,4854
01003,15
01005,1352
01007,4262
01008,330
01009,190
01010,1050
01011,353
01012,143
01013,5423
01020,8356
01022,381
01026,263
01027,4944
01028,4245
01029,134
01030,3491
01031,407
01032,114
01033,1883
01034,577
01035,1403
01036,1492
01037,213
01038,722
01039,457
01040,9182
01050,719
01053,428
01054,479
01056,6035
01057,2323
01060,3511
01062,2529
01063,0
01066,8
01068,478
01069,2240
01070,166
01071,383
01072,417
01073,1893
01074,139
01075,4408
01077,2642
01079,198
01080,627
01081,468
01082,2936
01083,557
01084,26
01085,10316
01088,175
01089,6854
01092,278
01093,53
01094,15
01095,4023
01096,729
01097,15
01098,330
01103,349
01104,5724
01105,2439
01106,4324
01107,2805
01108,6006
01109,6216
01118,4116
01119,3311
01128,807
01129,1595
01144,0
01151,2501
01201,11211
01220,1964
01222,199
01223,756
01224,66
01225,919
01226,1680
01229,24
01230,2227
01235,720
01236,550
01237,636
01238,1469
01240,1181
01242,93
01243,55
01244,57
01245,251
01247,3615
01253,233
01254,310
01255,204
01256,213
01257,583
01258,52
01259,196
01260,81
01262,412
01264,61
01266,304
01267,1482
01270,267
01301,4163
01330,442
01331,3548
01337,708
01338,28
01339,418
01340,540
01341,494
01342,280
01343,38
01344,425
01346,87
01347,21
01349,183
01350,32
01351,645
01354,373
01355,314
01360,916
01364,1816
01366,299
01367,121
01368,393
01370,925
01373,1363
01375,773
01376,1216
01378,210
01379,232
01380,5
01420,9781
01430,1817
01431,931
01432,1937
01434,301
01436,867
01438,75
