PROPERTY_TYPE,CITY,STATE_OR_PROVINCE,ZIP_OR_POSTAL_CODE,PRICE,BEDS,BATHS,SQUARE_FEET,LOT_SIZE,YEAR_BUILT,DAYS_ON_MARKET,LATITUDE,LONGITUDE,MEDIAN_INCOME,GROWTH,POP_SIZE,POP_AGE,BLACK_POP,IMMIGRANTS,POP_GROWTH
1,Crosswicks,1,08515,750000.0,4.0,3.5,3865.0,9900.0,2010.0,10.0,40.1393351,-74.6501301,2272.0,187.0,7884.0,36.4,0.074961948,2185.0,0.0
2,Mount Laurel,1,08054,449000.0,3.0,3.5,2254.0,0.0,2020.0,29.0,39.9619636,-74.8919541,18545.0,18445.0,44473.0,42.6,0.120455108,4033.0,0.0
2,Bedminster Twp.,1,07921,599900.0,4.0,2.5,2112.0,0.0,1993.0,36.0,40.6456996,-74.6378421,3921.0,-3306.0,7596.0,48.1,0.015929437,610.0,0.0
1,New Egypt,1,08533,265000.0,3.0,1.0,1015.0,6534.0,1955.0,1.0,40.0649581,-74.5311085,2431.0,-5805.0,6384.0,40.6,0.015194236,42.0,0.0
1,Toms River,1,08757,424900.0,2.0,2.0,0.0,6098.0,1981.0,1.0,39.957343,-74.2788419,17702.0,15702.0,34957.0,63.4,0.06462225,631.0,0.0
1,Levittown,2,19057,350000.0,3.0,2.0,1200.0,6300.0,1955.0,1.0,40.1396487,-74.8461327,6008.0,-11651.0,17916.0,38.8,0.064914043,749.0,0.0
1,Monroe Township,1,08831,649900.0,4.0,3.5,1989.0,9.0,1991.0,1.0,40.365039,-74.4338082,22751.0,11197.0,53894.0,53.3,0.028203511,9906.0,0.0
1,Delran,1,08075,389900.0,4.0,2.0,1736.0,11321.0,1963.0,1.0,40.0082233,-74.9584821,11748.0,11665.0,30186.0,40.3,0.104353011,1078.0,0.0
1,Yardley,2,19067,525000.0,3.0,2.0,2328.0,13213.0,1955.0,1.0,40.228198,-74.8096332,20503.0,12423.0,52862.0,43.6,0.065737203,2163.0,0.0
1,Blackwood,1,08012,349900.0,3.0,1.5,1828.0,0.0,1978.0,1.0,39.784044,-75.0135836,15076.0,12065.0,38901.0,41.1,0.095884425,2260.0,0.0
1,Levittown,2,19056,550000.0,5.0,3.0,2276.0,20664.0,1957.0,1.0,40.1587673,-74.8881514,5909.0,2925.0,16115.0,40.8,0.07409246,615.0,0.0
1,Parsippany-troy Hills Twp.,1,07054,535000.0,3.0,2.0,0.0,16552.0,1976.0,1.0,40.8488739,-74.3953311,11845.0,9720.0,30692.0,39.8,0.034308615,12838.0,0.0
1,West Wildwood,1,08260,199900.0,2.0,1.0,792.0,3598.0,1955.0,1.0,39.0006957,-74.8212636,6145.0,6026.0,12509.0,57.1,0.038052602,28.0,0.0
1,Hillsborough Twp.,1,08844,469000.0,3.0,1.0,0.0,38332.0,1952.0,1.0,40.5267809,-74.6320145,15293.0,13600.0,42818.0,42.1,0.04381335,9050.0,0.0
1,Clinton Twp.,1,08833,500000.0,3.0,2.5,1650.0,54014.0,1974.0,1.0,40.6445147,-74.8000586,3516.0,820.0,9062.0,49.5,0.001434562,177.0,0.0
1,Palmyra,1,08065,340000.0,3.0,2.5,1440.0,4000.0,1940.0,1.0,40.0004211,-75.0282803,3078.0,-3294.0,7429.0,40.9,0.185220083,126.0,0.0
1,Bethany Beach,3,19930,829900.0,4.0,3.5,2800.0,6970.0,2013.0,1.0,38.5392665,-75.0763316,1405.0,-7573.0,2799.0,66.7,0.015005359,47.0,0.0
2,Philadelphia,2,19151,175000.0,3.0,1.0,1152.0,1064.0,1925.0,1.0,39.9719918,-75.2422431,12766.0,11541.0,31815.0,34.9,0.890334748,292.0,0.0
3,Madison Boro,1,07940,484900.0,2.0,1.0,0.0,4791.0,1989.0,1.0,40.7632681,-74.431541,5710.0,-3001.0,18054.0,36.1,0.031738119,1018.0,0.0
1,Millburn Twp.,1,07078,1295000.0,4.0,3.5,0.0,16117.0,1955.0,1.0,40.7362092,-74.344932,4464.0,-12729.0,14285.0,41.5,0.013090655,5081.0,0.0
1,Ambler,2,19002,589000.0,3.0,2.5,2587.0,44900.0,1965.0,1.0,40.2005826,-75.2132871,11486.0,5898.0,30952.0,44.9,0.049463686,3204.0,0.0
3,New Brunswick,1,08901,450000.0,1.0,1.0,849.0,0.0,2012.0,2.0,40.4975673,-74.4468552,15464.0,-8592.0,57257.0,23.2,0.148837697,6099.0,0.0
1,Manchester,1,08759,345000.0,2.0,2.0,1267.0,5662.0,1978.0,2.0,40.0203807,-74.2813631,19912.0,19025.0,34007.0,68.6,0.029199871,987.0,0.0
1,Hamilton,1,08619,378000.0,4.0,1.5,1364.0,8250.0,1950.0,2.0,40.2385936,-74.6870873,9103.0,6241.0,23438.0,41.3,0.091603379,1338.0,0.0
1,Haddonfield,1,08033,674900.0,3.0,2.5,1939.0,21780.0,1929.0,2.0,39.90888,-75.0310643,6308.0,-11123.0,16565.0,40.5,0.009658919,218.0,0.0
3,Hamilton,1,08690,210000.0,2.0,1.0,1000.0,0.0,1981.0,2.0,40.215437,-74.683597,7857.0,5627.0,20445.0,47.5,0.02910247,1233.0,0.0
1,Roselle Park Boro,1,07204,440000.0,4.0,2.5,1576.0,4356.0,1922.0,2.0,40.6671184,-74.2628887,5204.0,2984.0,13973.0,37.8,0.102340228,1712.0,0.0
1,Tewksbury Twp.,1,08833,750000.0,4.0,2.5,0.0,130680.0,1975.0,2.0,40.6895951,-74.7923802,3516.0,820.0,9062.0,49.5,0.001434562,177.0,0.0
1,Bridgewater Twp.,1,08807,709000.0,4.0,3.0,0.0,47916.0,1959.0,1.0,40.6076788,-74.5998499,13740.0,10366.0,38916.0,44.1,0.022407236,10708.0,0.0
1,Hammonton,1,08037,389000.0,3.0,2.5,1648.0,0.0,1984.0,3.0,39.6251612,-74.7777309,8907.0,6662.0,23729.0,46.1,0.030174049,259.0,0.0
1,Bridgeton,1,08302,305000.0,4.0,3.0,2494.0,17424.0,1965.0,3.0,39.4412915,-75.2570438,13716.0,591.0,47358.0,33,0.273153427,780.0,0.0
2,Philadelphia,2,19146,499999.0,3.0,2.0,1412.0,960.0,1925.0,3.0,39.9423205,-75.1794926,18101.0,15814.0,40983.0,33.3,0.322694776,2637.0,0.0
1,Morrisville,2,19067,489900.0,4.0,2.5,2042.0,6000.0,1986.0,3.0,40.1989558,-74.8153685,20503.0,12423.0,52862.0,43.6,0.065737203,2163.0,0.0
3,Wildwood Crest,1,08260,169900.0,1.0,1.0,412.0,0.0,1908.0,3.0,38.9810102,-74.8295336,6145.0,6026.0,12509.0,57.1,0.038052602,28.0,0.0
1,Newtown Square,2,19073,959900.0,5.0,4.5,5538.0,18295.0,1997.0,1.0,39.965052,-75.428262,8302.0,-682.0,20756.0,44.9,0.00997302,564.0,0.0
2,Philadelphia,2,19134,217900.0,3.0,2.0,1300.0,700.0,1920.0,3.0,39.9889918,-75.1164868,21942.0,21543.0,59590.0,32.1,0.166991106,1179.0,0.0
1,Mendham Twp.,1,07931,1299000.0,5.0,3.5,4000.0,234352.0,2021.0,3.0,40.754672,-74.645182,1185.0,960.0,3432.0,47.2,0.007867133,121.0,0.0
1,Edison,1,08817,349000.0,2.0,1.0,912.0,5001.0,1943.0,3.0,40.5062703,-74.3904064,16234.0,3075.0,47590.0,37.5,0.100546333,18010.0,0.0
1,Cranford Twp.,1,07016,649000.0,4.0,1.5,2500.0,13939.0,1942.0,3.0,40.6587779,-74.3153273,9029.0,5491.0,23823.0,42.7,0.015908996,669.0,0.0
1,Southampton,2,18966,725000.0,5.0,2.5,2929.0,21200.0,1975.0,2.0,40.2092254,-75.0231001,14215.0,14179.0,36658.0,48.2,0.005455835,850.0,0.0
1,South Brunswick,1,08810,460000.0,3.0,2.0,1606.0,20909.0,1973.0,1.0,40.3763686,-74.5153152,2761.0,1362.0,8185.0,39.9,0.096395846,4492.0,0.0
1,Newtown,2,18940,629000.0,3.0,2.5,2416.0,11430.0,1987.0,1.0,40.24602,-74.8994337,11527.0,4023.0,29664.0,46.1,0.016214941,2435.0,0.0
3,South Brunswick,1,08852,220000.0,2.0,2.0,1216.0,653.0,1984.0,1.0,40.3950813,-74.5680305,7141.0,6639.0,18480.0,39.3,0.093560606,9209.0,0.0
3,Sea Isle City,1,08243,225000.0,1.0,1.0,368.0,0.0,1978.0,3.0,39.1566534,-74.6909747,1083.0,1012.0,2068.0,64.7,0,13.0,0.0
1,Millville,1,08332,159900.0,2.0,1.0,935.0,5320.0,1951.0,3.0,39.3954671,-75.0227121,14571.0,11182.0,35532.0,42.8,0.163458291,680.0,0.0
2,Philadelphia,2,19134,150000.0,3.0,1.0,1120.0,700.0,1920.0,3.0,39.9986541,-75.1103308,21942.0,21543.0,59590.0,32.1,0.166991106,1179.0,0.0
1,Villas,1,08251,775000.0,3.0,2.0,1152.0,0.0,1986.0,3.0,38.997792,-74.9551946,4658.0,4104.0,10631.0,40.1,0.002821936,16.0,0.0
1,Rahway City,1,07065,389900.0,3.0,1.0,0.0,4356.0,1900.0,3.0,40.6131153,-74.2817298,12158.0,5268.0,29582.0,39.5,0.320836995,1922.0,0.0
1,Iselin,1,08830,469000.0,3.0,2.0,924.0,5001.0,1977.0,1.0,40.5670064,-74.3087275,6410.0,1988.0,17684.0,42.8,0.074304456,9247.0,0.0
2,Philadelphia,2,19145,249000.0,3.0,1.0,1120.0,696.0,1920.0,3.0,39.9234623,-75.1842815,18976.0,18937.0,45101.0,37.9,0.277953926,6379.0,0.0
1,Hope Twp.,1,07838,659000.0,4.0,3.0,2400.0,233917.0,2008.0,3.0,40.8828466,-74.9719111,1274.0,419.0,3083.0,49,0.004216672,47.0,0.0
3,Ocean City,1,08226,875000.0,3.0,2.0,0.0,0.0,1988.0,3.0,39.2228451,-74.6370115,5353.0,2412.0,11211.0,56.3,0.030862546,46.0,0.0
3,Trenton,1,08619,330000.0,2.0,2.0,1138.0,0.0,2015.0,3.0,40.2581667,-74.7062538,9103.0,6241.0,23438.0,41.3,0.091603379,1338.0,0.0
3,Brigantine,1,08203,465000.0,2.0,2.0,0.0,0.0,1985.0,3.0,39.3934377,-74.4037601,3769.0,2682.0,7890.0,57.3,0.005449937,470.0,0.0
1,Norristown,2,19403,825000.0,4.0,3.5,3903.0,15836.0,2000.0,3.0,40.1456153,-75.4348824,18542.0,17890.0,43898.0,45.4,0.082372773,3948.0,0.0
1,Hamilton,1,08690,329000.0,4.0,2.0,1424.0,7440.0,1952.0,3.0,40.2249478,-74.6614742,7857.0,5627.0,20445.0,47.5,0.02910247,1233.0,0.0
1,Holland Twp.,1,08848,725000.0,3.0,2.0,0.0,429501.0,1990.0,3.0,40.5773338,-75.1907886,2993.0,-194.0,8463.0,44.8,0.013234078,28.0,0.0
1,South Orange Village Twp.,1,07079,875000.0,4.0,3.0,0.0,9583.0,1932.0,1.0,40.7511103,-74.2622469,5680.0,-9771.0,18450.0,35.3,0.247533875,772.0,0.0
2,Norwood,2,19074,240000.0,3.0,1.0,1552.0,3049.0,1925.0,1.0,39.8963802,-75.301688,2251.0,2064.0,5920.0,41,0.01875,331.0,0.0
1,Alexandria Twp.,1,08867,449900.0,4.0,2.5,0.0,87555.0,1971.0,1.0,40.5886776,-74.9650112,1892.0,423.0,5436.0,46.9,0.012325239,172.0,0.0
1,Hamilton,1,08610,149990.0,3.0,1.0,864.0,6299.0,1940.0,3.0,40.2013063,-74.7269628,11675.0,4218.0,32159.0,38.2,0.145091576,1654.0,0.0
1,Feasterville Trevose,2,19053,320000.0,2.0,2.0,1156.0,5200.0,1938.0,3.0,40.1502576,-74.9695769,10521.0,10450.0,27718.0,44.3,0.034309835,1670.0,0.0
2,Philadelphia,2,19145,240000.0,2.0,1.0,1056.0,658.0,1920.0,2.0,39.9242212,-75.1822304,18976.0,18937.0,45101.0,37.9,0.277953926,6379.0,0.0
1,Fords,1,08863,475000.0,3.0,2.0,1538.0,10080.0,1955.0,3.0,40.5430693,-74.3055192,4349.0,-27889.0,12897.0,39.2,0.140032566,2213.0,0.0
1,Edison,1,08817,696000.0,4.0,3.0,1819.0,5001.0,1930.0,4.0,40.5080996,-74.418739,16234.0,3075.0,47590.0,37.5,0.100546333,18010.0,0.0
2,Philadelphia,2,19134,160000.0,3.0,1.0,1172.0,915.0,1910.0,4.0,39.9898645,-75.1046076,21942.0,21543.0,59590.0,32.1,0.166991106,1179.0,0.0
1,Netcong Boro,1,07857,299900.0,3.0,2.0,0.0,8712.0,1910.0,4.0,40.8965875,-74.7089998,1793.0,-2019.0,3418.0,45.8,0.074897601,22.0,0.0
1,Clinton Twp.,1,08801,725000.0,5.0,3.5,0.0,26136.0,1984.0,1.0,40.6168028,-74.8946377,2530.0,1040.0,8296.0,34.8,0.162729026,396.0,0.0
1,Wrightstown,1,08562,480000.0,4.0,2.5,1900.0,21157.0,1978.0,2.0,40.076646,-74.5715695,1476.0,-11226.0,3924.0,41.4,0.048674822,34.0,0.0
1,Voorhees,1,08043,739000.0,4.0,3.5,3735.0,14375.0,1989.0,4.0,39.8206062,-74.9151912,11683.0,11668.0,30864.0,42.5,0.079477709,6493.0,0.0
1,Marlboro,1,07746,475000.0,2.0,2.0,1918.0,6534.0,1987.0,3.0,40.3109536,-74.2726304,5944.0,5944.0,18437.0,45.1,0.013505451,3695.0,0.0
1,Berlin,1,08009,500000.0,4.0,2.0,3200.0,35998.0,1990.0,1.0,39.788742,-74.9332305,5391.0,958.0,13995.0,44.2,0.123115398,335.0,0.0
1,Rehoboth Beach,3,19971,1999000.0,3.0,3.0,2042.0,4792.0,1960.0,2.0,38.7241617,-75.0829473,7240.0,7240.0,14132.0,61.1,0.065595811,255.0,0.0
1,Willingboro,1,08046,419900.0,4.0,2.5,2019.0,6499.0,1961.0,4.0,40.0213433,-74.8901613,10701.0,7100.0,31747.0,40.8,0.693419851,477.0,0.0
1,Denville Twp.,1,07834,449900.0,3.0,1.0,0.0,7405.0,1922.0,4.0,40.8864572,-74.4782754,6880.0,-3271.0,18207.0,44.3,0.027022574,1580.0,0.0
2,Philadelphia,2,19146,235000.0,3.0,1.0,1152.0,825.0,1925.0,4.0,39.9361103,-75.1749178,18101.0,15814.0,40983.0,33.3,0.322694776,2637.0,0.0
2,Philadelphia,2,19149,230000.0,3.0,1.5,1120.0,2537.0,1950.0,2.0,40.0355987,-75.0752751,19381.0,14632.0,59899.0,33.1,0.241723568,10980.0,0.0
1,Forks Twp,2,18040,549000.0,4.0,3.0,2500.0,43124.0,1983.0,4.0,40.7113883,-75.2431205,6428.0,4768.0,17022.0,45,0.085125132,839.0,0.0
1,Flemington Boro,1,08822,429900.0,4.0,1.5,0.0,4791.0,1900.0,4.0,40.5090521,-74.8610957,11462.0,8402.0,30717.0,42.9,0.018686721,2284.0,0.0
1,Erdenheim,2,19038,1299000.0,5.0,3.5,3966.0,30000.0,1910.0,2.0,40.0885464,-75.2152929,11544.0,-1047.0,32697.0,40.5,0.127014711,834.0,0.0
1,Millsboro,3,19966,589000.0,4.0,3.5,2558.0,28314.0,2021.0,4.0,38.579859,-75.34573,13797.0,13797.0,31427.0,52.5,0.090304515,363.0,0.0
1,Easton,2,18042,135000.0,3.0,0.5,1104.0,3125.0,1900.0,4.0,40.6819619,-75.2140963,15971.0,6536.0,43834.0,37.1,0.142811516,1212.0,0.0
1,Raritan Twp.,1,08822,499900.0,4.0,2.0,0.0,343688.0,1900.0,4.0,40.481097,-74.810844,11462.0,8402.0,30717.0,42.9,0.018686721,2284.0,0.0
1,North Wildwood,1,08260,425000.0,2.0,1.0,624.0,1437.0,1955.0,2.0,38.997251,-74.8115869,6145.0,6026.0,12509.0,57.1,0.038052602,28.0,0.0
1,Clark Twp.,1,07066,389000.0,3.0,1.0,0.0,5227.0,1972.0,4.0,40.6183211,-74.2974522,5902.0,4252.0,15445.0,42.5,0.022337326,574.0,0.0
2,Upper Darby,2,19082,188800.0,3.0,1.5,1120.0,1742.0,1949.0,4.0,39.9644122,-75.295765,15894.0,15023.0,43270.0,33.5,0.444626762,8405.0,0.0
4,Rahway,1,07065,699000.0,0.0,0.0,2256.0,4090.0,1900.0,2.0,40.6133304,-74.2813975,12158.0,5268.0,29582.0,39.5,0.320836995,1922.0,0.0
3,Ocean City,4,21842,699999.0,3.0,3.0,1758.0,0.0,2005.0,4.0,38.424665,-75.0554108,5498.0,-13342.0,10960.0,53.5,0.032664234,56.0,0.0
1,Doylestown,2,18901,579000.0,3.0,2.5,2302.0,9583.0,1961.0,1.0,40.3192156,-75.1185301,10681.0,3117.0,27996.0,44.6,0.021145878,642.0,0.0
1,Marlton,1,08053,599900.0,3.0,2.5,2570.0,7144.0,2003.0,2.0,39.9031879,-74.8706782,18653.0,18595.0,46775.0,42.4,0.057359701,2822.0,0.0
1,Milford,3,19963,425000.0,3.0,1.0,830.0,13697.0,2000.0,4.0,39.0005888,-75.3279014,8432.0,8432.0,21155.0,42.4,0.159253132,374.0,0.0
2,Philadelphia,2,19128,379000.0,3.0,1.0,1530.0,2750.0,1925.0,2.0,40.0329939,-75.2109052,18018.0,18018.0,38840.0,36.4,0.133805355,1168.0,0.0
1,Randolph Twp.,1,07869,950000.0,4.0,4.0,0.0,48787.0,1994.0,1.0,40.8497939,-74.5448864,9118.0,2290.0,26170.0,40.2,0.037103554,3488.0,0.0
3,Upper Gwynedd,2,19446,480000.0,2.0,2.0,1908.0,0.0,2006.0,2.0,40.1989798,-75.3004628,23608.0,23608.0,60657.0,43.6,0.076215441,8675.0,0.0
1,Sicklerville,1,08081,399900.0,4.0,2.5,2418.0,10890.0,2004.0,5.0,39.753046,-74.9719054,17337.0,12637.0,51518.0,36.2,0.346461431,1669.0,0.0
1,Sicklerville,1,08081,429900.0,4.0,2.5,3000.0,36590.0,1991.0,1.0,39.7370972,-75.0340764,17337.0,12637.0,51518.0,36.2,0.346461431,1669.0,0.0
1,Selbyville,3,19975,490000.0,3.0,2.0,2239.0,21780.0,1996.0,5.0,38.477855,-75.1321452,4395.0,4395.0,9610.0,58.7,0.024245578,28.0,0.0
1,Manchester,1,08759,115000.0,1.0,1.0,748.0,0.0,1973.0,1.0,40.0143048,-74.2673202,19912.0,19025.0,34007.0,68.6,0.029199871,987.0,0.0
2,Easton,2,18042,375000.0,2.0,2.0,1818.0,0.0,1900.0,5.0,40.6933737,-75.2086382,15971.0,6536.0,43834.0,37.1,0.142811516,1212.0,0.0
1,Branchburg Twp.,1,08876,549900.0,3.0,2.0,0.0,61855.0,1959.0,5.0,40.6162199,-74.695525,8926.0,-20966.0,22691.0,41.1,0.077607862,2489.0,0.0
1,Atco,1,08004,399900.0,4.0,2.5,2100.0,25500.0,1975.0,1.0,39.7614446,-74.8251936,3838.0,3042.0,10884.0,42.4,0.095001838,315.0,0.0
2,Philadelphia,2,19128,310000.0,3.0,1.0,1512.0,3143.0,1920.0,5.0,40.0317889,-75.2124055,18018.0,18018.0,38840.0,36.4,0.133805355,1168.0,0.0
1,Toms River,1,08757,369900.0,2.0,2.0,1440.0,7405.0,1979.0,5.0,39.97245,-74.266199,17702.0,15702.0,34957.0,63.4,0.06462225,631.0,0.0
2,Philadelphia,2,19104,399000.0,3.0,2.5,1098.0,900.0,1930.0,5.0,39.9634107,-75.1913015,18053.0,10643.0,52126.0,23,0.406841116,7681.0,0.0
1,Monroe,1,08831,699990.0,4.0,3.0,2510.0,0.0,2021.0,5.0,40.364515,-74.451593,22751.0,11197.0,53894.0,53.3,0.028203511,9906.0,0.0
1,Green Brook Twp.,1,08812,1095000.0,4.0,3.5,2952.0,54014.0,1996.0,5.0,40.5962455,-74.4952853,4544.0,-1318.0,14074.0,40.5,0.046894984,1898.0,0.0
1,Sicklerville,1,08081,374890.0,3.0,2.5,1794.0,19166.0,1995.0,1.0,39.746999,-74.987245,17337.0,12637.0,51518.0,36.2,0.346461431,1669.0,0.0
1,Browns Mills,1,08015,299999.0,4.0,2.5,1994.0,8002.0,1999.0,2.0,39.985098,-74.5831019,7243.0,-1020.0,19060.0,42.3,0.182161595,573.0,0.0
1,East Brunswick,1,08816,549900.0,3.0,2.5,2716.0,41892.0,1994.0,5.0,40.4128499,-74.4453725,16472.0,10254.0,48950.0,42.8,0.038059244,13991.0,0.0
1,Old Bridge,1,08857,525000.0,4.0,3.0,1864.0,5702.0,1988.0,1.0,40.4382087,-74.3038233,15753.0,1195.0,40725.0,43.1,0.048324125,5901.0,0.0
1,Snow Hill,4,21863,675000.0,5.0,4.0,3746.0,60113.0,2006.0,1.0,38.146516,-75.294943,1836.0,1715.0,4904.0,39.8,0.247145188,141.0,0.0
3,Philadelphia,2,19103,700000.0,2.0,2.0,1440.0,0.0,1925.0,5.0,39.9505521,-75.1727211,16337.0,6063.0,25368.0,35.8,0.05175812,3536.0,0.0
2,Philadelphia,2,19143,474999.0,4.0,2.5,2400.0,1662.0,1925.0,5.0,39.9490582,-75.2260434,26259.0,19290.0,63861.0,33.1,0.765490675,1427.0,0.0
2,Selbyville,3,19975,295000.0,2.0,1.5,1144.0,0.0,1992.0,2.0,38.468023,-75.082059,4395.0,4395.0,9610.0,58.7,0.024245578,28.0,0.0
2,Franklin Twp.,1,08873,400000.0,2.0,2.5,0.0,0.0,1985.0,5.0,40.468996,-74.504386,20794.0,18335.0,55115.0,40.9,0.296452871,10773.0,0.0
1,Wayne,2,19087,789900.0,4.0,2.5,2606.0,9148.0,1996.0,5.0,40.04024,-75.4135546,12157.0,-7679.0,33717.0,40.3,0.037310556,3750.0,0.0
2,Swedesboro,1,08085,280000.0,2.0,2.5,1498.0,2614.0,1993.0,5.0,39.7575335,-75.3533788,7080.0,2942.0,21142.0,37.8,0.137073125,712.0,0.0
2,Mount Royal,1,08061,324900.0,3.0,2.5,2440.0,1742.0,2006.0,5.0,39.7997439,-75.199566,1265.0,-11554.0,3414.0,38.3,0.037199766,127.0,0.0
1,Forks Twp,2,18040,550000.0,4.0,2.5,2828.0,12636.0,2007.0,5.0,40.7106165,-75.2397249,6428.0,4768.0,17022.0,45,0.085125132,839.0,0.0
1,Piscataway,1,08854,479900.0,4.0,1.5,0.0,10001.0,1971.0,1.0,40.5266023,-74.4853268,16954.0,16954.0,60467.0,33.7,0.196768485,22288.0,0.0
1,Mount Olive Twp.,1,07836,725000.0,4.0,2.5,2963.0,68824.0,1996.0,1.0,40.8378634,-74.729249,4458.0,2863.0,12262.0,42,0.026993965,348.0,0.0
1,South River,1,08882,299000.0,4.0,1.0,1066.0,2400.0,1909.0,6.0,40.4449079,-74.3701791,5658.0,-7189.0,16087.0,37.1,0.08323491,420.0,0.0
3,South Brunswick,1,08824,390000.0,2.0,2.5,0.0,0.0,1991.0,6.0,40.4325857,-74.5413619,4503.0,2692.0,13511.0,46,0.032862112,5074.0,0.0
1,Georgetown,6,39854,298500.0,4.0,2.0,2560.0,1090742.0,1990.0,8.0,31.7591678,-85.0442565,1021.0,820.0,2392.0,57.5,0.486622074,59.0,0.0
