Zipcode,Median Income ,Old Median Income,Growth
ZCTA5 00601,5397,5477,-80
ZCTA5 00602,12858,13241,-383
ZCTA5 00603,19295,17518,1777
ZCTA5 00606,1968,1754,214
ZCTA5 00610,8934,9181,-247
ZCTA5 00611,514,23268,-22754
ZCTA5 00612,23319,3574,19745
ZCTA5 00616,3342,8046,-4704
ZCTA5 00617,7820,2027,5793
ZCTA5 00622,2789,13321,-10532
ZCTA5 00623,13933,7935,5998
ZCTA5 00624,7194,10987,-3793
ZCTA5 00627,11367,556,10811
ZCTA5 00631,396,7500,-7104
ZCTA5 00636,296,5668,-5372
ZCTA5 00637,7005,9641,-2636
ZCTA5 00638,6032,12185,-6153
ZCTA5 00641,8724,1807,6917
ZCTA5 00646,11863,4558,7305
ZCTA5 00647,1927,1159,768
ZCTA5 00650,5157,4004,1153
ZCTA5 00652,1250,6569,-5319
ZCTA5 00653,3591,13109,-9518
ZCTA5 00656,6513,6334,179
ZCTA5 00659,13214,14229,-1015
ZCTA5 00660,6220,4840,1380
ZCTA5 00662,13974,8345,5629
ZCTA5 00664,5120,9541,-4421
ZCTA5 00667,7849,3270,4579
ZCTA5 00669,9745,15558,-5813
ZCTA5 00670,2639,11484,-8845
ZCTA5 00674,14437,5491,8946
ZCTA5 00676,13032,9048,3984
ZCTA5 00677,5763,20354,-14591
ZCTA5 00678,8985,11387,-2402
ZCTA5 00680,17636,11396,6240
ZCTA5 00682,11916,12166,-250
ZCTA5 00683,10721,9138,1583
ZCTA5 00685,14152,3876,10276
ZCTA5 00687,9654,1929,7725
ZCTA5 00688,4066,10896,-6830
ZCTA5 00690,2187,17668,-15481
ZCTA5 00692,11537,80,11457
ZCTA5 00693,20194,11997,8197
ZCTA5 00694,28,8928,-8900
ZCTA5 00698,11647,2873,8774
ZCTA5 00703,9057,8486,571
ZCTA5 00704,2543,4001,-1458
ZCTA5 00705,8683,6059,2624
ZCTA5 00707,3845,1310,2535
ZCTA5 00714,6147,11651,-5504
ZCTA5 00715,801,7369,-6568
ZCTA5 00716,11125,8378,2747
ZCTA5 00717,6398,8274,-1876
ZCTA5 00718,8105,6858,1247
ZCTA5 00719,8456,6173,2283
ZCTA5 00720,6495,30765,-24270
ZCTA5 00723,5882,19203,-13321
ZCTA5 00725,29994,13362,16632
ZCTA5 00727,19267,16178,3089
