Zipcode,Median Income ,Old Median Income,Growth
00601,5397,5477,-80
00602,12858,13241,-383
00603,19295,17518,1777
00606,1968,1754,214
00610,8934,9181,-247
00611,514,23268,-22754
00612,23319,3574,19745
00616,3342,8046,-4704
00617,7820,2027,5793
00622,2789,13321,-10532
00623,13933,7935,5998
00624,7194,10987,-3793
00627,11367,556,10811
00631,396,7500,-7104
00636,296,5668,-5372
00637,7005,9641,-2636
00638,6032,12185,-6153
00641,8724,1807,6917
00646,11863,4558,7305
00647,1927,1159,768
00650,5157,4004,1153
00652,1250,6569,-5319
00653,3591,13109,-9518
00656,6513,6334,179
00659,13214,14229,-1015
00660,6220,4840,1380
00662,13974,8345,5629
00664,5120,9541,-4421
00667,7849,3270,4579
00669,9745,15558,-5813
00670,2639,11484,-8845
00674,14437,5491,8946
00676,13032,9048,3984
00677,5763,20354,-14591
00678,8985,11387,-2402
00680,17636,11396,6240
00682,11916,12166,-250
00683,10721,9138,1583
00685,14152,3876,10276
00687,9654,1929,7725
00688,4066,10896,-6830
00690,2187,17668,-15481
00692,11537,80,11457
00693,20194,11997,8197
00694,28,8928,-8900
00698,11647,2873,8774
00703,9057,8486,571
00704,2543,4001,-1458
00705,8683,6059,2624
00707,3845,1310,2535
00714,6147,11651,-5504
00715,801,7369,-6568
00716,11125,8378,2747
00717,6398,8274,-1876
00718,8105,6858,1247
00719,8456,6173,2283
00720,6495,30765,-24270
00723,5882,19203,-13321
00725,29994,13362,16632
00727,19267,16178,3089
00728,13021,13254,-233
00729,16529,4581,11948
00730,12806,4402,8404
00731,3933,16924,-12991
00735,4129,12439,-8310
00736,17400,12066,5334
00738,11564,566,10998
00739,11792,1633,10159
00740,643,17126,-16483
00741,1394,7857,-6463
00745,15803,13052,2751
00751,7538,7646,-108
00754,13248,2888,10360
00757,7203,7722,-519
00765,2374,11671,-9297
00766,7873,12924,-5051
00767,12011,11549,462
00769,12975,6636,6339
00771,11857,6714,5143
00772,6580,463,6117
00773,6803,12597,-5794
00775,489,13521,-13032
00777,13352,4084,9268
00778,14448,5711,8737
00780,4443,10500,-6057
00782,5130,14176,-9046
00783,10531,152,10379
00784,13947,16769,-2822
00786,81,9037,-8956
00791,16356,15461,895
00794,8731,2536,6195
00795,14486,22,14464
00901,3133,8162,-5029
00906,91,2387,-2296
00907,8334,3790,4544
00909,2239,2501,-262
00911,3656,3466,190
00912,2691,11801,-9110
00913,3040,8457,-5417
00915,10602,7521,3081
00917,8100,7443,657
00918,7633,14079,-6446
00920,6911,11130,-4219
00921,13552,20118,-6566
00923,10278,2856,7422
00924,19048,38084,-19036
00925,2964,6280,-3316
00926,35788,79,35709
00927,5936,0,5936
00934,27,27566,-27539
00949,25663,0,25663
00950,0,16,-16
00951,149,3412,-3263
00952,2842,21765,-18923
00953,21990,26689,-4699
00956,23846,15415,8431
00957,14799,18145,-3346
00959,17329,0,17329
00960,0,11434,-11434
00961,11292,7417,3875
00962,7567,3161,4406
00965,1888,6443,-4555
